Unnamed: 0,ICC12,ICC23,ICC13,ICC123
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.9963269874022512,0.8840612254853398,0.8853551204390613,0.9436956246771032
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.999057350018264,0.990226005150716,0.9888480401387724,0.9951420730628374
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Energy,0.9997453689932424,0.9996842532952545,0.9995920057507354,0.9997826599307522
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Entropy,0.987072762638882,0.8687084526540944,0.8568424119603113,0.9297297086184791
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.998294613038174,0.9810430659314118,0.9805118121338228,0.9909475529004886
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.9968920326449672,0.9544574921960846,0.9561276776234816,0.9799231716969818
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Maximum,0.9559827672976944,0.9266014093301788,0.8513181296631396,0.9359880891678544
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Mean,0.9952223868940504,0.9567222581377014,0.9578830221509206,0.97952150417392
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9965442498323888,0.9566547509113756,0.9543353192616923,0.9785901092767418
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Median,0.9945139072908996,0.9793146224012363,0.9756963344703312,0.988753037525049
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Minimum,0.9837214973577304,0.9451779480915324,0.9365007887696296,0.9701547529908424
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Range,0.9825410698821992,0.9506718709153268,0.9232870462279468,0.9669470807274404
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.9976480447672388,0.971716214275103,0.9689592249572656,0.985942294155106
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.9952356295986816,0.957111851835877,0.9582553785880008,0.9797069062007466
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Skewness,0.9948853154200742,0.9428452584873458,0.94530986473505,0.9740633281155348
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.9997740792179598,0.999697971999128,0.9996651483648888,0.9998083124882572
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Uniformity,0.9795585973535984,0.946868520814721,0.9325492568697792,0.9680835795409174
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Variance,0.9953339538905008,0.9299634531352422,0.9265370802587272,0.9649591049136912
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.9997298525472093,0.9022388101856758,0.9021160230142864,0.9584848736336566
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.9950222079039788,0.7848496740634789,0.7792091949626602,0.887297189746236
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterShade,0.9971680666098822,0.8830087352519159,0.8771122160227385,0.9446148069560474
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.985697406018973,0.8212534888410085,0.8122765141719315,0.9050380038808824
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Contrast,0.9926446404916158,0.9772153445156678,0.9706934034236672,0.9869377638323804
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Correlation,0.9811879468055976,0.916520578986977,0.9072417098153376,0.9551128965482298
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.9927196032137308,0.979526873119556,0.9740741854131504,0.988189245021952
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.9939647641036352,0.9688585146867388,0.9607107839884436,0.9832544344782927
