,ICC23
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.8840612254853398
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.9902260051507161
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Energy,0.9996842532952543
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Entropy,0.8687084526540944
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.9810430659314118
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.9544574921960846
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Maximum,0.9266014093301788
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Mean,0.9567222581377014
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9566547509113755
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Median,0.9793146224012365
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Minimum,0.9451779480915324
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Range,0.9506718709153268
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.971716214275103
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.957111851835877
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Skewness,0.9428452584873458
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.9996979719991279
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Uniformity,0.946868520814721
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Variance,0.9299634531352422
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.9022388101856758
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.7848496740634789
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterShade,0.8830087352519159
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.8212534888410085
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Contrast,0.9772153445156678
