Unnamed: 0,ICC12,ICC23,ICC13,ICC123
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.9905243445399275,0.994180548360479,0.986764245253826,0.9935760692614236
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.97982694438225,0.9986338769754598,0.9778563587629744,0.9902063767971828
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Energy,0.9995466760175084,0.9999177919675728,0.999241497855148,0.9997147955275488
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Entropy,0.9332516513171774,0.9887524736185068,0.9630522192469808,0.9731700073865224
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.9942058948949392,0.9876302627773826,0.9884294129484168,0.9934256070682758
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.971850321257948,0.9997182994751108,0.9714611383178748,0.986443517856536
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Maximum,0.9552348646936234,0.9692635849965208,0.923994144920466,0.9658244095280611
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Mean,0.9894549564345188,0.9912124611590412,0.9839417960252718,0.9920554676131976
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9894094554648332,0.9957105499544264,0.9885102607674988,0.994078675967768
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Median,0.9870447941170308,0.9807821534285134,0.9814092880270712,0.9887489527781316
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Minimum,0.9815383668391352,0.9994168446944144,0.9816184848200168,0.9913347964753086
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Range,0.9753576596827196,0.9962687023939648,0.9727199146166914,0.9872595123924929
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.993244325676398,0.9931300625641236,0.9908974833506176,0.9949368668044888
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.9894635183606576,0.9912006309596554,0.9839176878468626,0.9920496196973718
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Skewness,0.9759320706852384,0.9866396580466352,0.980170122753158,0.9871501567382228
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.9995466760175084,0.9999177919675728,0.999241497855148,0.9997147955275488
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Uniformity,0.9232796248209189,0.958465076345564,0.958083806484066,0.9633602814524721
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Variance,0.9848036855871772,0.9947733267384856,0.9847477420154264,0.9919112177352144
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.9558165364232948,0.9999905972201102,0.9557958744540084,0.9788294660106994
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.9425944975612016,0.9667698612658454,0.9792020302358784,0.9755511058209512
